22/01/2016,-62.59,EFTPOS IGA KENSINGTON PLUS KENSINGTON VIC
22/01/2016,-10.7,EFTPOS HJ FLEMINGTON       5340 FLEMINGTON
22/01/2016,-30.95,VISA DEBIT PURCHASE CARD 3067 DOMINOS FLEMINGTON FLEMINGTON
20/01/2016,1500,ANZ INTERNET BANKING FUNDS TFER LIVING FEE          LUNG SING TENG
20/01/2016,-32.95,VISA DEBIT PURCHASE CARD 3067 DOMINOS FLEMINGTON FLEMINGTON
19/01/2016,-25,VISA DEBIT PURCHASE CARD 3067 CRUSTGOURMETPIZZA SOUTHPORT
15/01/2016,-5,ACCOUNT SERVICING FEE
13/01/2016,-23.56,EFTPOS WOOLWORTHS      3169     NEWMARKET PLZAU
13/01/2016,-14.8,EFTPOS JB N S GROUP PTY LTD  KENSINGTON   VICAU
11/01/2016,-14.8,EFTPOS JB N S GROUP PTY LTD  KENSINGTON   VICAU
07/01/2016,-11.4,EFTPOS HJ FLEMINGTON       5340 FLEMINGTON
05/01/2016,-42.5,NON-ANZ ATM LITTLE SAIGON MARKET        FOOTSCRAY INCLUDES ATM OPERATOR CHARGE $2.50
05/01/2016,-22.42,VISA DEBIT PURCHASE CARD 3067 AMAZON WEB SERVICES AWS.AMAZON.CO 15.81 USD INC O/S FEE $0.65
04/01/2016,-39,EFTPOS SWEETS AND SPICE PTY     BRUNSWICK    VI
04/01/2016,-52.5,NON-ANZ ATM DCP-MCG #1 - LVL B1 PONEANEAST MELBOURN0 INCLUDES ATM OPERATOR CHARGE $2.50
04/01/2016,-35.38,EFTPOS COLES 7994               ASCOT VALE   AU
04/01/2016,110,ANZ INTERNET BANKING FUNDS TFER RM 345              WEI RONG TENG
31/12/2015,-78.99,PAYMENT TO VODAFONE         T1 1DF756 10
29/12/2015,-17,ANZ M-BANKING PAYMENT TRANSFER 454964 TO WEI RONG TENG
29/12/2015,-14.5,VISA DEBIT PURCHASE CARD 3067 PAYPAL *OZOESTOREPT 4029357733
